image,short_prompt
1.png,"A young, dark-skinned boy, likely pre-teen age, is playing a drum set in a cartoon bedroom. He is wearing a red baseball cap and a green t-shirt. He has a light-brown complexion"
2.png,"A cartoon woman, positioned slightly off-center to the right of the image, is the main subject. She appears to be middle-aged, with dark brown curly hair. Her skin tone is dark brown. She is wearing a royal blue collared shirt with a yellow collar and small, light-colored buttons.  She is looking directly at the viewer. Her facial expression is pleasant and friendly, with a slight smile.  Her body type is rounded, and her build is somewhat plus-size."
3.png,"A young, light-skinned girl, appearing to be around 8-10 years old, is depicted in a cartoon style. She is positioned slightly to the left of center in the frame, facing forward and looking slightly to her right.  She has blonde pigtails and a cheerful expression"
4.png,"Two young children, are sitting in a children's sandbox.  The child on the left is wearing a light-colored shirt and dark-red bucket, while the child on the right wears blue overalls."
5.png,"A young boy, light-skinned, bald, and with a cheerful expression, is holding a gray tabby cat. "
6.png,"An elderly man, light brown skin, with short, graying hair, holding a small, light brown wooden birdhouse."
7.png,"A cheerful elderly woman with red dress"
8.png,"An elderly man holding a fishing rod in his right hand"
9.png,"2 children and a woman"
10.png,"A children holding a toy"
11.png,"A mother laughing"
12.png,"Mother making makeup in front of the mirror"
13.png,"Asian girl waves while walking with a backpack"
14.png,"A group of diverse children are depicted in a playground setting."
15.png,"A kid standing sad"
16.png,"A woman smiling"
17.png,"A girl holding her toy"
18.png,"A group of children and a teacher are in a brightly colored preschool classroom."
19.png,"A young child, likely pre-teen, is shown from a slightly low-angle, full shot. The child has light brown hair and a friendly expression. "
20.png,"A dad standing"
21.png,"A mother standing"
22.png,"2 children having fun"
23.png,"A boy pushing a toy dump truck with a cat in it"
24.png,"Two boys talking"
25.png,"Two young children, light-skinned and appearing to be preschool age, are in a room filled with toys."
26.png,"Two children, positioned side-by-side in a bathroom setting, are washing their hands. Left sie includes letters"
27.png,"Childrens talking at school backyard"
28.png,"Girl holding ice cream and her toy"
29.png,"Girl is thinking"
30.png,"A a group of five children gathered together in a playful environment"
31.png,"Caillou crossing arms and standing"
32.png,"A kid on wheelchair wearing birthday hat"
33.png,"Young boy kneeling and looking down with a sad or thoughtful expression"
34.png,"Four kids standing, two of them are talking"
35.png,"Caillou and his cat standing near a table with a box on it"
37.png,"Lady holding a basket"
38.png,"dalmatian dog"
39.png,"Woman holding a bell"
40.png,"A woman with glasses"
41.png,"Asian woman with red shirt"
42.png,"Man with cowboy hat"
43.png,"A black man"
44.png,"A children with black hair"
45.png,"A woman with ginger hair"
46.png,"Children taking a book from floor"
47.png,"A boy with glasses sitting"
48.png,"A girl drawing a picture"
49.png,"Caillou's mother returning from shopping"
50.png,"A kid opening a box from theatre"
52.png,"A black boy with afro hair"
54.png,"A skeleton"
55.png,"A girl drawing a yellow star"
56.png,"sunny park, depicting four children and two adult women engaged in playful activities around a sandbox"
57.png,"A happy dog in its bed"
66.png,"Caillou and his sister sitting in a car. Caillou is angry"
67.png,"A forest"
68.png,"A park"
69.png,"Caillou's mother and father taking a basket from car baggage"
70.png,"Caillou family are laughing"
71.png,"Caillou family having picnic"
72.png,"A soldier taking with the kid (Caillou)"
73.png,"A soldier waiting with open arms"
74.png,"Caillou and his sister wearing hats"
75.png,"Two woman sitting on a bank"
76.png,"Caillou with dirty clothes in the bathroom with his mother"
77.png,"Soap"
78.png,"Caillou having shower"
79.png,"His mother is washing Caillou"
80.png,"Caillou and his mother in the bedrom standing. Mother is talking"
81.png,"A book with a picture on it"
82.png,"The kid named Caillou playing with train with his dad"
83.png,"The kid named Caillou on the right and his father on the left are both wearing hats"
84.png,"Caillou's father wearing a hat walks through the turnstile"
85.png,"Caillou and his dad in airport"
86.png,"A brightly colored cartoon scene depicts a station setting.  A boy, light-skinned, pre-teen, in a red sweater and blue baseball cap, holds a shoulder bag and is looking at a smartphone. He is positioned on the left side of the image, in front of a mirror reflecting a train tunnel scene."
87.png,"The kid named Caillou and his father are looking to a metro map"
88.png,"A subway scene"
89.png,"The kid Caillou and his father are sitting on a bank"
90.png,"The central park"
91.png,"The kid named Caillou is sleeping on his fathrs knees in a subway"
92.png,"The kid named Caillou and his mother are in supermarket"
93.png,"Caillou's mother is checking while kid is sleeping with his toy"
94.png,"A doctor on the left cheking the kid Caillou in the middle"
95.png,"The kid Caillo is ill"
96.png,"Car"
97.png,"A man with hat and beard"
98.png,"A Farm"
99.png,"A man feeding sheeps"
100.png,"A stall"
101.png,"Caillou (the kid) and a man together with a horse"
102.png,"3 pigs"
103.png,"A tractor"
104.png,"The girl who is Caillou's sister playing music"
105.png,"A chicken"
106.png,"A windmill"
107.png,"Caillou the kid wearing a suit"
108.png,"The man who is father of Caillou wearing a suit"
109.png,"A waiter holding a tray"
